# frame	pencil	paper	rank
M34-013-0091.jpg	0.01377	0.620	200
M34-013-0049.jpg	0.01375	0.742	201
M34-013-0310.jpg	0.01374	0.786	202
M34-013-0354.jpg	0.01372	0.795	203
M34-013-0233.jpg	0.01365	0.808	204
M34-013-0153.jpg	0.01346	0.779	205
M34-013-0106.jpg	0.01345	0.828	206
M34-013-0355.jpg	0.01342	0.786	207
M34-013-0077.jpg	0.01338	0.813	208
M34-013-0312.jpg	0.01327	0.823	209
M34-013-0016.jpg	0.01325	0.557	210
M34-013-0011.jpg	0.01323	0.605	211
M34-013-0159.jpg	0.01320	0.824	212
M34-013-0096.jpg	0.01311	0.632	213
M34-013-0361.jpg	0.01308	0.788	214
M34-013-0158.jpg	0.01308	0.767	215
M34-013-0369.jpg	0.01300	0.758	216
M34-013-0144.jpg	0.01297	0.809	217
M34-013-0352.jpg	0.01296	0.799	218
M34-013-0347.jpg	0.01294	0.804	219
M34-013-0294.jpg	0.01293	0.800	220
M34-013-0216.jpg	0.01267	0.837	221
M34-013-0107.jpg	0.01265	0.829	222
M34-013-0208.jpg	0.01260	0.744	223
M34-013-0339.jpg	0.01252	0.752	224
M34-013-0360.jpg	0.01251	0.788	225
M34-013-0371.jpg	0.01250	0.769	226
M34-013-0020.jpg	0.01247	0.753	227
M34-013-0065.jpg	0.01245	0.746	228
M34-013-0047.jpg	0.01244	0.727	229
M34-013-0070.jpg	0.01240	0.759	230
M34-013-0321.jpg	0.01230	0.791	231
M34-013-0079.jpg	0.01228	0.807	232
M34-013-0157.jpg	0.01222	0.769	233
M34-013-0074.jpg	0.01221	0.764	234
M34-013-0223.jpg	0.01211	0.821	235
M34-013-0012.jpg	0.01209	0.752	236
M34-013-0314.jpg	0.01203	0.785	237
M34-013-0089.jpg	0.01198	0.631	238
M34-013-0143.jpg	0.01191	0.779	239
M34-013-0093.jpg	0.01189	0.633	240
M34-013-0048.jpg	0.01181	0.726	241
M34-013-0155.jpg	0.01181	0.779	242
M34-013-0231.jpg	0.01169	0.774	243
