index	code	transcribed_group	plaintext
4349	"751^"""	7^'' 5 1	con
4350	150^o	1^o 5 0	st
4351	34^^	3^^ 4	r
4352	41^^	4^^ 1	u
4353	30^^	3^^ 0	c
4354	343^o	3 4^o 3	tu
4355	45^CircleWithHorizontalBar	4^+ 5	zeer
4356	192^^	1^^ 9 2	s
4357	618^_	6^_ 1^_ 8^_	leg
4358	4^CircleWithHorizontalBar	4^+	t
4359	746	7 4 6	na
4360	460^_	4^_ 6^_ 0	laat?
4361	28^_	2^_ 8^_	
4362	158	1 5 8	en
4363	380	3 8 0	van
4364	746	7 4 6	na
4365	4^CircleWithHorizontalBar	4^+	t
4366	158	1 5 8	en
4367	583^CircleWithHorizontalBar	5 8^+ 3	s
4368	618^_	6^_ 1^_ 8^_	leg
4369	4^CircleWithHorizontalBar	4^+	t
4370	280^_	2 8^_ 0	h
4371	147^^	1^^ 4 7	ou
4372	4^CircleWithHorizontalBar	4^+	t
4373	874	8 7 4	
4374	87	8 7	is
4375	883^_	8^_ 8^_ 3	van de
4376	547	5 4 7	galeÿ
4377	801^o	8^o 0 1	vloot
4378	143^_	1^_ 4^_ 3	heeft
4379	39^^	3^^ 9	men
4380	115^^	1^^ 1 5	mÿ
4381	4	4	een
4382	"728^"""	7^'' 2 8	by zonder
4383	75^o	7^o 5	staat
4384	"311^"""	3^'' 1 1	be
4385	401^_	4^_ 0^_ 1	
4386	254^CircleWithHorizontalBar	2^+ 5^_ 4	welke
4387	132^CircleWithHorizontalBar	1^+ 3^_ 2	zo
4388	"968^"""	9^'' 6 8	dien
4389	"333^"""	3^'' 3 3	aangeende
4390	158	1 5 8	en
4391	253^CircleWithHorizontalBar	2^+ 5 3	weg
4392	191	1 9 1	ens
4393	34	3 4	den
4394	533^o	5 3^o 3	verder
4395	86	8 6	en
4396	422^o	4^o 2 2	toc/toe?
4397	77^o	7^o 7	stana
4398	883^_	8^_ 8^_ 3	van de
4399	341^_	3^_ 4^_ 1^_	
4400	6	6	ne
4401	45^CircleWithHorizontalBar	4^+ 5^_	zeer
4402	261^_	2^_ 6^_ 1	
4403	331^^	3^^ 3 1	port
4404	"144^"""	1^'' 4 4	ant
4405	158	1 5 8	en
4406	30^^	3^^ 0	c
4407	918^o	9^o 1 8	ur
4408	5	5	i
4409	37^^	3^^ 7	e
