index	code	transcribed_group	plaintext
849	293^CircleWithHorizontalBar	2^_ 9^+ 3^_	zoude?
850	90	9 0	zÿn
851	48^_	4^_ 8^_	om
852	741	7 4 1	haar
853	31^^	3^^ 1	e
854	871^_	8^_ 7^_ 1^_	
855	959^_	^_ 9^_ 5^_ 9^_	bÿ
856	303	3 0 3	die
857	13^_	1^_ 3^_	hot
858	375^_	^_ 3 7 5	konde
859	7	7	te
860	27^CircleWithHorizontalBar	2^_ 7^+	wen
861	163	1 6 3	den
862	414^o	4 1^o 4	ten
863	31^^	3^^ 1	e
864	518^CircleWithHorizontalBar	5^_ 1^+ 8^_	ÿ
865	674	6 7 4	n
866	26	2 6	de
867	48^_	4^_ 8^_	om
868	815	8 1 5	de
869	16	1 6	daar
870	422^o	4 2^o 2	toc/toe?
871	7	7	te
872	"822^"""	8 2^{''} 2	dispos
873	674	6 7 4	n
874	80	8 0	eeron
875	158	1 5 8	en
876	7	7	te
877	190	1 9 0	engagemen
878	26	2 6	de
879	450	4 5 0	p
880	448^CircleWithHorizontalBar	4 4^+ 8^_	r
881	"703^"""	7 0^{''} 3	u
882	"931^"""	9 3^{''} 1	ÿ
883	"860^"""	8 6^{''} 0	ss
884	87	8 7	is
885	"514^"""	5 1 4^{''}	chi
886	750^_	7 5^_ 0	Minister F
887	131^_	1 3^_ 1^_	van
888	309	3 0 9	dit
889	"371^"""	3 7^{''} 1	antwoort
890	375	3 7 5	aan
891	90	9 0	zÿn
892	13^_	1^_ 3^_	hot
893	862^o	8^o 6 2	verslag
894	773	7 7 3	gedaan
895	216^_	2 1^_ 6	hetten
896	26	2 6	de
897	57^CircleWithHorizontalBar	5^_ 7^+	zo
898	143^_	1^_ 4^_ 3^_	heeft
899	163	1 6 3	den
900	376^_	3 7^_ 6	koning
901	16	1 6	daar
902	730^_	7^_ 3^_ 0^_	in
903	571	5 7 1	geneeg
904	550^_	^_ 5 5 0	liv?
905	858^_	8 5^_ 8^_	nom
906	341^^	3 4^^ 1	en
907	158	1 5 8	en
908	"968^"""	9 6^{''} 8	dien
909	"671^"""	6^{''} 7 1	cem/cen?
910	760	7 6 0	form
911	375	3 7 5	aan
912	715	7 1 5	beid
913	31^^	3 1^^	e
