3^_ 1^_ 2^_	312	___
2 3 3	233	
6 1^.. 8	618	..
2 1 1	211	
8 9^..	89	..
5 3^_ 7	537	_
4 5^_ 4^_	454	__
8 8 7	887	
4 6^_ 0^_	460	__
9 7 5	975	
8 0^_ 8^_	808	__
9 1 5	915	
4 2^. 3^.	423	..
2 3 6	236	
9 0^.. 1	901	..
1 0^.. 8	108	..
1 4^. 9^.	149	..
9 3^.. 1	931	..
8^..	8	..
8 0^.. 3	803	..
4 9^.. 0	490	..
7 6^.. 9	769	..
3 3 2	332	
8 0^_ 8	808	_
1 5	15	
6 9^.. 2	692	..
3 0^_ 6	306	_
3 1^_ 2^_	312	__
2 3^.. 6	236	..
1 0^.. 1	101	..
8 8^_ 0	880	_
7 1^.. 7	717	..
2 0^.. 5	205	..
