7 7^_ 3	773	_
3 8^.. 8	388	..
9 7^.. 1	971	..
2 0	20	
3 3 2	332	
7 0 9	709	
1 5	15	
6 2 8	628	
5 0^.. 6	506	..
3 9 0	390	
8 0^. 3^.	803	..
6 1^. 9^.	619	..
