411	362	à	H	5
412	196	M	H	5
413	878	le	H	5
414	185	Marechal	M	5
415	219	de	H	5
416	537	Bel	M	5
417	834	le	H	5
418	1099	Il	?	6
419	878	le	H	6
420	949	com	H	6
421	611	bien	H	6
422	1088	il	H	6
423	838	est	H	6
424	868	in	M	6
425	949	com	H	6
426	827	mo	H	6
427	1018	de	H	6
428	219	d'	H	6
429	844	être	H	6
430	1017	re	H	6
431	512	du	M	6
432	898	it	H	6
433	966	pour	H	6
434	1075	en	?	6
435	992	trer	?	6
436	7?68	dans	?	6
437	878	le	H	6
438	455	Pais	H	6
439	164	ennemi	M	6
440	202	à	H	6
441	885	des	H	6
442	874	r	?	6
443	527	ou	?	6
444	289	tes	M	6
445	735	assez	M	6
446	1018	de	H	6
447	966	tour	M	6
448	134	nées	?	6
449	968	pouvoir	?	6
450	50	che	H	6
451	725	mi	H	6
452	693	ner	H	6
453	31	que	H	6
454	306	par	H	6
455	885	des	H	6
456	900	Di	M	6
457	685	vi	H	6
458	1042	sion	H	6
459	219	de	H	6
460	265	deux	M	6
461	440	Bataillons	M	6
462	942	ou	H	6
463	219	de	H	6
464	771	quatre	M	6
465	220	Batail	?	6
466	200	lons	?	6
467	23	je	H	6
468	832	con	H	6
469	685	vi	H	6
470	1073	ens	M	6
471	31	que	H	6
472	583	la	H	6
473	1142	Gue	H	6
474	582	l	H	6
475	142	dre	H	6
476	838	est	H	6
477	1159	si	H	6
478	1018	de	H	6
479	966	pour	?	6
480	496	vue	M	6
481	219	de	H	6
482	355	Troupes	H	6
483	984	qu'on	M	6
484	134	ne	H	6
485	745	doit	H	6
486	943	pas	H	6
487	939	craindre	M	6
488	276	d'	H	6
489	35	en	?	6
490	683	trou	M	6
491	992	ver	H	6
492	835	en	H	6
493	225	cam	M	6
494	716	pa	M	6
495	853	g	?	6
496	912	ne	?	6
497	907	ni	?	6
498	899	sur	H	6
499	1068	son	H	6
500	744	che	M	7
501	725	mi	M	7
502	580	n	?	7
503	888	mais	H	7
504	1016	cette	H	7
505	717	facon	M	7
506	276	d'	H	7
507	54	ar	M	7
508	8?79	ri	?	7
509	684	ver	H	7
510	1188	succes	?	7
511	1159	si	?	7
512	663	ve	M	7
513	362	à	M	7
514	582	l'	H	7
515	605	inconvenient	H	7
516	276	d'	H	7
517	832	an	?	7
518	229	non	?	7
519	736	cer	H	7
520	645	une	H	7
521	821	Armee	H	7
522	219	de	H	7
523	611	bien	H	7
524	1165	lo	H	7
525	868	in	M	7
526	805	moyen	H	7
527	807	nan	M	7
528	435	t	?	7
529	573	quoi	H	7
530	380	les	H	7
