code,character,codepoint
1005,埒,U+57D2
1006,垮,U+57AE
1007,埏,U+57CF
1008,域,U+57DF
1009,埠,U+57E0
1010,垧,U+57A7
1011,埭,U+57ED
1012,垡,U+57A1
1013,执,U+6267
1014,培,U+57F9
1015,基,U+57FA
1016,堂,U+5802
1017,坚,U+575A
1018,堆,U+5806
1019,垩,U+57A9
1020,埤,U+57E4
1021,埴,U+57F4
1022,埵,U+57F5
1023,埸,U+57F8
1024,堃,U+5803
1025,堙,U+5819
1026,堞,U+581E
1027,堡,U+5821
1028,堠,U+5820
1029,堤,U+5824
1030,堪,U+582A
1031,尧,U+5C27
1032,报,U+62A5
1033,埔,U+57D4
1034,场,U+573A
1035,堵,U+5835
1036,埝,U+57DD
1037,堰,U+5830
1038,垾,U+57BE
1039,塍,U+584D
1040,块,U+5757
1041,茔,U+8314
1042,塌,U+584C
1043,塑,U+5851
1044,塔,U+5854
1045,墓,U+5893
1046,塚,U+585A
1048,塘,U+5858
1049,塞,U+585E
1050,填,U+586B
1051,坞,U+575E
1052,垲,U+57B2
1053,埙,U+57D9
1054,埘,U+57D8
1055,堼,U+583C
1056,坝,U+575D
1057,尘,U+5C18
1058,堑,U+5811
1060,塾,U+587E
1061,塂,U+5842
1062,墀,U+5880
1063,墁,U+5881
1064,境,U+5883
1065,墅,U+5885
1066,墉,U+5889
1067,垫,U+57AB
1068,墄,U+5884
1069,埫,U+57EB
1071,坠,U+5760
1073,增,U+589E
1074,墟,U+589F
1075,墨,U+58A8
1076,墩,U+58A9
1077,堕,U+5815
1080,塄,U+5844
1081,塆,U+5846
1082,墈,U+5888
1083,垦,U+57A6
1084,壁,U+58C1
1085,壅,U+58C5
1086,坛,U+575B
1089,壑,U+58D1
1090,压,U+538B
1091,壕,U+58D5
1093,垒,U+5792
1094,圹,U+5739
1096,垄,U+5784
1097,垆,U+5786
1099,壤,U+58E4
1101,圳,U+5733
1102,士,U+58EB
1103,壬,U+58EC
1104,壮,U+58EE
1105,壹,U+58F9
1106,壶,U+58F6
1108,寿,U+5BFF
1109,壸,U+58F8
1110,椴,U+6934
1111,夂,U+5902
1112,夆,U+5906
1113,簖,U+7C16
1114,夊,U+590A
1115,夏,U+590F
1116,砘,U+7818
1118,跺,U+8DFA
1119,夕,U+5915
1120,外,U+5916
1121,夙,U+5919
1122,多,U+591A
1123,夜,U+591C
1124,够,U+591F
1125,梦,U+68A6
1126,夤,U+5924
1127,夥,U+5925
1128,婀,U+5A40
1129,大,U+5927
1130,夭,U+592D
1131,天,U+5929
1132,太,U+592A
1133,夫,U+592B
1134,夬,U+592C
1135,央,U+592E
1136,失,U+5931
1137,夯,U+592F
1138,夷,U+5937
1139,夸,U+5938
1140,夹,U+5939
1141,奄,U+5944
1142,奇,U+5947
1143,奈,U+5948
1144,奉,U+5949
1145,奎,U+594E
1146,奏,U+594F
1147,奂,U+5942
1148,契,U+5951
1149,奔,U+5954
1150,奕,U+5955
1151,奓,U+5953
1152,套,U+5957
1153,奚,U+595A
1154,锇,U+9507
1155,奘,U+5958
1156,奠,U+5960
1158,奢,U+5962
1159,奥,U+5965
1160,奁,U+5941
1161,夺,U+593A
1162,奖,U+5956
1163,奭,U+596D
1164,奋,U+594B
1165,奀,U+5940
1166,女,U+5973
1167,奴,U+5974
1168,奶,U+5976
1169,奸,U+5978
1170,好,U+597D
1171,妁,U+5981
1172,如,U+5982
1173,妃,U+5983
1174,妄,U+5984
1175,妊,U+598A
1176,妒,U+5992
1177,妍,U+598D
1178,妓,U+5993
1179,妖,U+5996
1180,妗,U+5997
1181,妙,U+5999
1182,妆,U+5986
1183,妣,U+59A3
1184,妤,U+59A4
1185,妥,U+59A5
1186,妨,U+59A8
1187,妯,U+59AF
1188,妹,U+59B9
1189,妻,U+59BB
1190,妾,U+59BE
1191,姆,U+59C6
1192,姊,U+59CA
1193,始,U+59CB
1194,姗,U+59D7
1195,姐,U+59D0
1196,姑,U+59D1
1197,姒,U+59D2
1198,姓,U+59D3
1199,妲,U+59B2
1200,妮,U+59AE
1201,委,U+59D4
1202,姚,U+59DA
1203,姜,U+59DC
1204,姝,U+59DD
1207,姣,U+59E3
1209,姥,U+59E5
1210,姨,U+59E8
1212,侄,U+4F84
1213,姬,U+59EC
1215,姻,U+59FB
1216,娃,U+5A03
1217,姿,U+59FF
1218,威,U+5A01
1219,娉,U+5A09
1220,姮,U+59EE
1222,娌,U+5A0C
1223,娑,U+5A11
1224,娘,U+5A18
1225,娱,U+5A31
1226,娜,U+5A1C
1227,娟,U+5A1F
1228,娠,U+5A20
1229,娣,U+5A23
1230,娥,U+5A25
1231,娩,U+5A29
1232,娓,U+5A13
1233,娼,U+5A3C
1234,姹,U+59F9
1235,娶,U+5A36
1236,娄,U+5A04
1237,婆,U+5A46
1238,婉,U+5A49
1239,婊,U+5A4A
1240,婕,U+5A55
1241,婚,U+5A5A
1242,婢,U+5A62
1244,妇,U+5987
1245,婪,U+5A6A
1246,娅,U+5A05
1247,她,U+5979
1248,妳,U+59B3
1249,婼,U+5A7C
1250,婷,U+5A77
1251,婺,U+5A7A
1252,媒,U+5A92
1253,媚,U+5A9A
1254,媛,U+5A9B
1257,娲,U+5A32
1260,媖,U+5A96
1261,媳,U+5AB3
1262,媵,U+5AB5
1263,媸,U+5AB8
1264,媪,U+5AAA
1265,妈,U+5988
1266,媾,U+5ABE
1268,嫁,U+5AC1
1269,嫂,U+5AC2
1270,嫄,U+5AC4
1271,嫉,U+5AC9
1273,嫌,U+5ACC
1274,媲,U+5AB2
1276,嫖,U+5AD6
1277,妪,U+59AA
1278,嫠,U+5AE0
1279,嫡,U+5AE1
1280,嫣,U+5AE3
1281,嫦,U+5AE6
1282,嫩,U+5AE9
1283,嫪,U+5AEA
1284,嫘,U+5AD8
1285,嫚,U+5ADA
