M35-02-0273.jpg	150	9	15.00
M35-02-0274.jpg	460	6	65.71
M35-02-0275.jpg	765	15	47.81
M35-02-0276.jpg	687	31	21.47
M35-02-0277.jpg	980	30	31.61
M35-02-0278.jpg	1041	2	347.00
M35-02-0279.jpg	1238	1	619.00
M35-02-0280.jpg	1171	1	585.50
M35-02-0281.jpg	1085	1	542.50
M35-02-0282.jpg	1226	1	613.00
M35-02-0283.jpg	928	10	84.36
M35-02-0284.jpg	987	1	493.50
M35-02-0285.jpg	487	1	243.50
M35-02-0286.jpg	363	1	181.50
M35-02-0287.jpg	215	1	107.50
M35-02-0288.jpg	1871	14	124.73
M35-02-0289.jpg	751	2	250.33
M35-02-0290.jpg	164	2	54.67
M35-02-0291.jpg	943	10	85.73
M35-02-0292.jpg	359	1	179.50
M35-02-0293.jpg	149	1	74.50
M35-02-0294.jpg	2704	8	300.44
M35-02-0295.jpg	1348	5	224.67
M35-02-0296.jpg	2637	11	219.75
M35-02-0297.jpg	2826	12	217.38
M35-02-0298.jpg	3	3	0.75
