rows 377 good(>-0.62) 0
-1.23 t48r C44 32 dehazarierunoothetauecuneaeml
-1.22 t47v C50 60 aoisneecomdenilzontlesoraeilesdelicatesquazdonleurdictu
-1.22 t48r C22 59 muiuepreendoarinnueparlexteoninatiqndelaracedelundesdi
-1.22 t49r C32 58 ceoe[ROY]cayantincontinantaproitournelaneieetsestantcampep
-1.22 t48r C46 52 zuillypleustfaireconposerercelequiseroitoaposla
-1.22 t47r C12 61 rouroneoblialapassisoarouonlundsembleraelesacrueofanoeein
-1.21 t48v C9 65 iecteiasaditemaoesteseeoinprestepouroecuieilirlesreliquesd
-1.21 t46v C35 31 dnetrescertainolesalenandz
-1.21 t47v C5 66 oitfaictsamadestequiestoinassespourcleetabouoheaoesxquiindero
-1.21 t49r C49 25 seiatquelayetmeurepon
-1.21 t49v C47 63 leestseuleequipeultdoneraueoisonaoestemaladieapnhsdiquelele
-1.21 t50r C23 31 duechanperlhseesolutlonsquelon
-1.21 t46r C10 67 lalinseurmenostoitlesmlyensdutetilmerespondatquecnnaulitses
-1.21 t47v C2 65 elofunetreaooitearleshistoistoiresdeplusieursnieolesmaultreroi
-1.20 t49r C41 20 onpresteloeeileaux
-1.20 t49v C26 25 tuescudessaieanesseeen
-1.20 t46r C35 51 ndreclmmeneooustantnoseiduralasuitedelacouetet
-1.20 t46v C44 64 teseniuneoitauddentesilenemnncretournoinneuoulansdemererexp
-1.20 t47r C27 69 iluiplestirdoneequilrustpoureeuacecielesinconiendensnueia
-1.20 t48r C8 62 ictquillnsetreaentplusprqoeideleureupunequeleeremieriourq
-1.20 t48r C40 37 etailoindouterquanquidesioelantn
-1.20 t48r C38 10 eetensiue
-1.20 t50r C4 68 esilzluidiminentledceedittantilnphaentuuusioneresquelhurintention
-1.20 t46r C5 13 maiemandene
-1.20 t47v C23 51 blasaeesamaiestearmeetaleesqudleiroitueloaraisla
-1.19 t47r C26 58 uisiccalaannaineousepuisenslaslumremedesdendsmauan
-1.19 t50r C19 34 paednesmontsiimadatchdetantque
-1.19 t48r C45 64 onposldenationsnuiluntsontsuhiectesounoueiesesueeesdespaisuas
-1.19 t50r C3 66 pesiniomdesainanehsleeommandementauxarolsetqueparatiquesmultresuoy
-1.19 t49r C40 31 eoieleiaetaieseedresseipar
-1.19 t48r C34 60 minsportanpilsepoaoineespoudrequesieleaooinacontinuerqui
-1.19 t46v C8 38 ieposaccdoraonementdemosndaisoour
-1.19 t48r C15 62 auoiereceuiaucunadruentaaenestantresturdioelequelatesmefoil
-1.19 t49r C7 62 alamainquilauoitfaictleseetlalnoyonealaueaedepclequelantn
-1.19 t48r C35 38 lseeoisuerinalementrascheuxetdietioile
-1.19 t49r C8 63 niceiesaoceiastaunespourleseoourioresoldelexeouterenauoit
-1.19 t46v C34 63 tdlementlneustsontcuterrandediminutdonquileusetaohemineauner
-1.18 t50r C34 57 moissansrecopoieuenresseeasuetisanttesmoioanequeuormin
-1.18 t49r C31 63 saiantlocasilnoneueneeustleuelesiepedtoutetpritacaudebecaiest
-1.18 t47v C7 35 ceaamilesditzusecoursestoienten
-1.18 t46v C10 63 nueleaporainteettremenauxenemistientenresleondebueirceuoxqui
-1.18 t46v C3 68 oitcrandtoitcrandtortdelosretaodercmeponfaisoindgrindesleulsetalemai
-1.18 t49r C36 61 ennoitdissipiluntapresauoirrepeiticadebeouenuachalonenchampa
-1.18 t48r C29 55 rszuilruiuienentdalemainemanaleteeelautreporaoendre
-1.18 t48r C33 63 nsmilescusarmoisdespenoenialaponhuesearenroittropfasoeuse
-1.18 t47v C20 23 austdieterequiestulan
-1.18 t46v C46 67 oientcauselapertedelaierssreseoueuonlederueproueuilemdecorpaea
